L	liter
L	liters
L	litre
L	litres
dL	deciliter
cL	centiliter
mL	milliliter
μL	microliter
μL	micro liter
nL	nanoliter
pL	picoliter
fL	femtoliter
kL	kiloliter
g	gram
g	grams
mg	milligram
mg	milligrams
μg	microgram
μg	micrograms
μg	micro gram
ug	microgram
ng	nanogram
ng	nanograms
pg	picogram
pg	picograms
kg	kilogram
kg	kilograms
kgH₂O	kilogram of water
kgH2O	kilogram of water
mol	mole
mol	moles
LPF	low power field
HPF	high power field
mmHg	millimeter of mercury
cmH₂O	centimeter of water
cmH2O	centimeter of water
min	minute
min	minutes
h	hour
h	hours
day	day
day	days
m	meter
m	meters
m	metre
m	metres
cm	centimeter
cm	centimeters
cm	centimetre
cm	centimetres
m²	square meter
m²	square meters
m²	square metre
m²	square metres
cm²	square centimeter
cm²	square centimeters
cm²	square centimetre
cm²	square centimetres
mm²	square millimeter
mm²	square millimeters
mm²	square millimetre
mm²	square millimetres
