g/dL	gram per deciliter
mg/dL	milligram per deciliter
mEq/L	milliequivalent per liter
μEq/L	microequivalent per liter
Eq/L	equivalent per liter
mOsm/L	milliosmole per liter
Osm/L	osmole per liter
mOsm/kg	milliosmole per kilogram
Osm/kg	osmole per kilogram
mOsm/kgH₂O	milliosmole per kilogram of water
mOsm/kgH2O	milliosmole per kilogram of water
Osm/kgH₂O	osmole per kilogram of water
Osm/kgH2O	osmole per kilogram of water
mAU/cm	milli absorbance unit per centimeter
mS/cm	milli siemens per centimeter
μS/cm	micro siemens per centimeter
S/m	siemens per meter
mL/min	milliliter per minute
mm/h	millimeter per hour
vol%	volume percent
IU/mL	international unit per milliliter
IU/L	international unit per liter
mIU/mL	milli international unit per milliliter
mmol/L	millimole per liter
μmol/L	micromole per liter
nmol/L	nanomole per liter
μg/dL	microgram per deciliter
μg/L	microgram per liter
ng/mL	nanogram per milliliter
pg/mL	picogram per milliliter
cells/μL	cells per microliter
cells/μL	cells per micro liter
cells/mL	cells per milliliter
WBC/μL	white blood cell per microliter
RBC/μL	red blood cell per microliter
