IU	international units
IU	international unit
IU	i u
IU	i u s
mIU	milli international unit
mIU	m i u
μIU	micro international unit
μIU	micro i u
KIU	kilo international unit
KIU	k i u
fIU	femto international unit
pIU	pico international unit
nIU	nano international unit
fU	femto unit
pU	pico unit
nU	nano unit
μU	micro unit
mU	milli unit
KU	kilo unit
U	enzyme unit
mmol/L	millimoles per liter
mmol/L	millimole per liter
mmol/L	milli moles per liter
mmol/L	milli mole per liter
μmol/L	micromoles per liter
μmol/L	micromole per liter
nmol/L	nanomoles per liter
nmol/L	nanomole per liter
IU/mL	international units per milliliter
IU/mL	international unit per milliliter
IU/mL	i u per milliliter
IU/L	international units per liter
mIU/mL	milli international units per milliliter
mEq/L	milliequivalents per liter
mEq/L	milliequivalent per liter
μEq/L	microequivalents per liter
Eq/L	equivalents per liter
g/dL	grams per deciliter
g/dL	gram per deciliter
mg/dL	milligrams per deciliter
mg/dL	milligram per deciliter
μg/dL	micrograms per deciliter
μg/L	micrograms per liter
ng/mL	nanograms per milliliter
cells/μL	cells per microliter
cells/μL	cells per micro liter
cells/mL	cells per milliliter
mOsm/L	milliosmoles per liter
mOsm/kg	milliosmoles per kilogram
mOsm/kgH₂O	milliosmoles per kilogram of water
mOsm/kgH2O	milliosmoles per kilogram of water
mAU/cm	milli absorbance units per centimeter
mS/cm	milli siemens per centimeter
μS/cm	micro siemens per centimeter
mL/min	milliliters per minute
mm/h	millimeters per hour
/HPF	per high power field
/LPF	per low power field
